epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.418,1.09394,1.61338,1.27489,0.61901,0.60526,0.53399,0.30046,1.19225,1.86815,1.27151,0.000656863,0.000656863,0.000656863
2,213.143,1.08342,1.16721,1.2458,0.78347,0.58772,0.72189,0.4781,1.25431,1.42838,1.46053,0.00123618,0.00123618,0.00123618
3,308.913,1.06797,1.10869,1.22071,0.71888,0.53838,0.60654,0.35088,1.42744,2.11736,1.69119,0.00172749,0.00172749,0.00172749
4,406.22,1.06302,1.0522,1.22371,0.87851,0.57091,0.65938,0.39354,1.52557,1.5344,1.68712,0.001604,0.001604,0.001604
5,506.06,1.01077,0.95707,1.19072,0.66078,0.63158,0.63921,0.32289,1.71287,1.82949,1.93203,0.001472,0.001472,0.001472
6,591.36,1.16373,1.2266,1.37899,0.79801,0.76316,0.78979,0.51917,1.09982,1.57777,1.29585,0.00134,0.00134,0.00134
7,701.385,1.06705,1.07884,1.32037,0.74362,0.74561,0.82517,0.5779,1.06305,1.03651,1.23687,0.001208,0.001208,0.001208
8,794.036,1.02177,0.95242,1.24302,0.79996,0.7193,0.78037,0.56629,0.95861,1.15301,1.13412,0.001076,0.001076,0.001076
9,879.996,0.9809,0.91273,1.23337,0.87184,0.83333,0.86772,0.6154,0.95553,0.85548,1.14553,0.000944,0.000944,0.000944
10,981.335,0.92475,0.84993,1.21473,0.8744,0.7807,0.86302,0.63346,0.9223,0.91229,1.09189,0.000812,0.000812,0.000812
11,1079.28,0.90245,0.80786,1.18145,0.86899,0.72807,0.83968,0.62216,0.9475,0.92989,1.11335,0.00068,0.00068,0.00068
12,1169.15,0.86916,0.77248,1.1585,0.93103,0.7807,0.89109,0.67661,0.87034,0.82797,1.04817,0.000548,0.000548,0.000548
13,1251.32,0.82486,0.72971,1.11723,0.86445,0.83917,0.90378,0.68586,0.8449,0.75549,1.01092,0.000416,0.000416,0.000416
14,1333.68,0.79459,0.67487,1.10876,0.84826,0.83361,0.90761,0.67757,0.8485,0.71309,1.00454,0.000284,0.000284,0.000284
15,1415.86,0.78156,0.66532,1.07965,0.87249,0.85088,0.89412,0.69669,0.79129,0.73768,0.98508,0.000152,0.000152,0.000152
