epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.396,1.70523,4.90289,1.36938,0,0,0,0,1.29102,4.68357,1.04624,8.01546e-05,8.01546e-05,8.01546e-05
2,203.322,1.43749,3.92932,1.16233,0.56071,0.14334,0.08645,0.0519,1.35494,3.22017,1.20895,0.00015083,0.00015083,0.00015083
3,293.491,1.38986,3.27285,1.14543,0.49008,0.12751,0.13418,0.08605,1.40816,2.81568,1.24491,0.000210769,0.000210769,0.000210769
4,381.708,1.36202,2.82233,1.14166,0.44125,0.21905,0.18932,0.1189,1.36325,2.57419,1.23139,0.000195688,0.000195688,0.000195688
5,469.656,1.30835,2.43623,1.1335,0.3111,0.33925,0.27017,0.17777,1.32644,2.17672,1.21669,0.000179584,0.000179584,0.000179584
6,553.247,1.26881,2.2565,1.13123,0.4608,0.39098,0.32338,0.2166,1.28694,1.92097,1.19183,0.00016348,0.00016348,0.00016348
7,637.112,1.2304,1.96195,1.10319,0.52938,0.44582,0.43444,0.29768,1.2911,1.77573,1.1987,0.000147376,0.000147376,0.000147376
8,724.557,1.20746,1.76326,1.09747,0.60076,0.49728,0.53373,0.368,1.2532,1.5881,1.18058,0.000131272,0.000131272,0.000131272
9,807.938,1.19352,1.62984,1.09126,0.6668,0.59847,0.62354,0.43651,1.27025,1.48316,1.18863,0.000115168,0.000115168,0.000115168
10,892.667,1.17624,1.51565,1.08607,0.71996,0.65104,0.70789,0.49866,1.25705,1.38432,1.18398,9.9064e-05,9.9064e-05,9.9064e-05
11,976.561,1.16828,1.42823,1.07736,0.69929,0.70949,0.75694,0.53129,1.25475,1.30794,1.18269,8.296e-05,8.296e-05,8.296e-05
12,1060.26,1.1483,1.36995,1.07298,0.75554,0.70946,0.79307,0.56273,1.23838,1.24936,1.17381,6.6856e-05,6.6856e-05,6.6856e-05
13,1143.67,1.15887,1.3231,1.07246,0.76358,0.73566,0.82157,0.57843,1.24587,1.21739,1.17195,5.0752e-05,5.0752e-05,5.0752e-05
14,1227.32,1.14412,1.29862,1.06295,0.79121,0.77651,0.84299,0.59648,1.23895,1.1957,1.172,3.4648e-05,3.4648e-05,3.4648e-05
15,1313.35,1.13746,1.25691,1.06113,0.83212,0.78289,0.8555,0.60741,1.23041,1.17227,1.16992,1.8544e-05,1.8544e-05,1.8544e-05
