epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.591,1.70064,4.90338,1.37642,0,0,0,0,1.28143,4.6538,1.03218,8.01546e-05,8.01546e-05,8.01546e-05
2,208.859,1.44449,3.94395,1.16594,0.66532,0.10358,0.08372,0.05172,1.37906,3.14387,1.20004,0.00015083,0.00015083,0.00015083
3,297.367,1.39266,3.26331,1.14122,0.51865,0.10143,0.11442,0.07058,1.40438,2.83005,1.22567,0.000210769,0.000210769,0.000210769
4,385.56,1.35605,2.82203,1.13242,0.331,0.21055,0.17939,0.1146,1.36928,2.48668,1.22196,0.000195688,0.000195688,0.000195688
5,475.806,1.30318,2.45383,1.13232,0.38194,0.30088,0.27731,0.1856,1.31481,2.12184,1.21767,0.000179584,0.000179584,0.000179584
6,562.412,1.27308,2.24167,1.13749,0.44681,0.38198,0.35598,0.24074,1.27579,1.91136,1.20563,0.00016348,0.00016348,0.00016348
7,648.824,1.23037,1.96082,1.10563,0.47719,0.49669,0.47278,0.3181,1.29073,1.72267,1.20982,0.000147376,0.000147376,0.000147376
8,733.932,1.20733,1.76214,1.09866,0.586,0.51029,0.55097,0.37055,1.26832,1.59655,1.19512,0.000131272,0.000131272,0.000131272
9,820.695,1.19119,1.62867,1.0887,0.61537,0.58383,0.65065,0.44974,1.27527,1.49759,1.17761,0.000115168,0.000115168,0.000115168
10,906.864,1.18041,1.5135,1.08759,0.6737,0.65186,0.68877,0.48296,1.26108,1.38608,1.18622,9.9064e-05,9.9064e-05,9.9064e-05
11,992.99,1.17029,1.42563,1.07748,0.61899,0.70055,0.74319,0.52317,1.26714,1.32158,1.18752,8.296e-05,8.296e-05,8.296e-05
12,1079.77,1.15117,1.36406,1.07295,0.70827,0.73091,0.77169,0.54009,1.25729,1.25266,1.17989,6.6856e-05,6.6856e-05,6.6856e-05
13,1164.19,1.15696,1.31102,1.0703,0.73458,0.71197,0.79879,0.56068,1.25466,1.2114,1.1747,5.0752e-05,5.0752e-05,5.0752e-05
14,1249.34,1.14245,1.28879,1.05979,0.73881,0.73789,0.79925,0.56032,1.24937,1.19782,1.17267,3.4648e-05,3.4648e-05,3.4648e-05
15,1333.62,1.13859,1.24673,1.05896,0.71973,0.75595,0.80745,0.56771,1.24274,1.17835,1.17282,1.8544e-05,1.8544e-05,1.8544e-05
